date,vendor,status,ongoing_incidents,incidents_30d,downtime_30d_min,entry_eur,plan_prices,fingerprints,videos_30d,last_video
2026-09-02,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-03,BigCommerce,none,0,6,223.2,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,9,"New Tech, Same Ol' Humans: The Psychology Behind Commerce"
2026-09-03,CloudCart,none,0,0,0.8,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-03,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-03,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-03,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,1,What is Shop? | Shopping designed around you
2026-09-03,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,15,Squarespace AI Visibility
2026-09-03,Wix,none,0,3,458.2,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-03,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-04,BigCommerce,none,1,7,324.9,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,8,"New Tech, Same Ol' Humans: The Psychology Behind Commerce"
2026-09-04,CloudCart,none,0,0,0.8,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-04,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-04,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-04,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,1,What is Shop? | Shopping designed around you
2026-09-04,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,13,Squarespace AI Visibility
2026-09-04,Wix,none,0,3,458.2,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-04,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-05,BigCommerce,none,0,7,426.9,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,8,"New Tech, Same Ol' Humans: The Psychology Behind Commerce"
2026-09-05,CloudCart,none,0,0,0.8,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-05,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-05,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-05,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,1,What is Shop? | Shopping designed around you
2026-09-05,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,13,Squarespace AI Visibility
2026-09-05,Wix,none,0,3,458.2,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-05,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-06,BigCommerce,none,0,7,426.9,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,8,"New Tech, Same Ol' Humans: The Psychology Behind Commerce"
2026-09-06,CloudCart,none,0,0,0.2,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-06,Ecwid,none,0,1,47.9,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-06,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-06,Shopify,minor,1,1,105.1,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,1,What is Shop? | Shopping designed around you
2026-09-06,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,12,Squarespace AI Visibility
2026-09-06,Wix,none,0,3,458.2,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-06,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-07,BigCommerce,none,0,6,413.7,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,8,"New Tech, Same Ol' Humans: The Psychology Behind Commerce"
2026-09-07,CloudCart,none,0,0,0.2,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-07,Ecwid,none,0,0,0.0,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-07,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-07,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,0,What is Shop? | Shopping designed around you
2026-09-07,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,10,Squarespace AI Visibility
2026-09-07,Wix,,0,,,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-07,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-08,BigCommerce,none,0,6,413.7,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,8,"New Tech, Same Ol' Humans: The Psychology Behind Commerce"
2026-09-08,CloudCart,none,0,0,0.2,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-08,Ecwid,none,0,0,0.0,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-08,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-08,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,0,What is Shop? | Shopping designed around you
2026-09-08,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,10,Squarespace AI Visibility
2026-09-08,Wix,none,0,4,863.6,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-08,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-09,BigCommerce,none,0,6,413.7,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,9,How to Get Your B2B Products Found in ChatGPT
2026-09-09,CloudCart,none,0,0,0.2,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-09,Ecwid,none,0,0,0.0,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-09,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-09,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,0,What is Shop? | Shopping designed around you
2026-09-09,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,9,Squarespace AI Visibility
2026-09-09,Wix,none,0,4,863.6,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-09,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
2026-09-10,BigCommerce,none,0,6,413.7,25.23,Core=29.0; Growth=79.0; Scale=299.0; Performance=None,15,13,Will AI Recommend the Best Product or the Product With the Best Data?
2026-09-10,CloudCart,none,0,0,0.2,,,,1,Как ЗОРА развива онлайн търговията си с CloudCart
2026-09-10,Ecwid,none,0,0,0.0,5.0,Starter=5.0; Venture=29.0; Business=49.0; Unlimited=119.0,8,0,#Shorts Earth Day Tips for Businesses
2026-09-10,Shift4Shop,none,0,0,0.0,35.67,End-to-End eCommerce=41.0,5,0,PayPal Pay Later
2026-09-10,Shopify,none,0,0,0.0,19.0,Basic=19.0; Grow=56.0; Advanced=289.0; Plus=2100.0,19,0,What is Shop? | Shopping designed around you
2026-09-10,Squarespace,none,0,3,1204.0,9.0,Basic=9.0; Core=14.0; Advanced=21.0; Plus=49.0,6,8,Squarespace AI Visibility
2026-09-10,Wix,none,0,4,863.6,14.79,Light=17.0; Core=29.0; Business=39.0; Business Elite=159.0,5,0,Turn your idea into an online business | Wix eCommerce
2026-09-10,WooCommerce,nopage,0,0,0.0,,Woo Core=0.0; Реална издръжка=None,,0,How ScandiKitchen scaled from a single café to 100k orders a year with WooCommer
